Title,Discounted Price,Status
কস্তুরি হলুদ গুড়া (Wild Turmeric Powder) (Kasturi Holud Gura)-100gm,"
        ৳? ? ?
      ",None
Ready Mix Dry Garden Soil (5 kg Bag) Premium Quality,"
        ৳? ? ?
      ",None
Men's Stylish Faux Leather Sandal,"
        ৳? ? ?
      ",None
HANADI BEAUTY LIP GLOSS BEAUTY 4PCS,"
        ৳? ? ?
      ",None
Ladies Short Sleeve Cotton T-Shirt,"
        ৳? ? ?
      ",None
ছেলে এবং মেয়ে উভয়ের জন্য উচ্চ গুণমানের সম্পূর্ণ মেটাল বডি এবং গ্লাস লেন্স সানফ্লাওয়ার সবচেয়ে ভালো সেলিংয়ের ক্লাসিক ভিনটেজ গোলাকার রেট্রো সান শেড কাস্টোমাইজড স্টিম পাঙ্ক সানগ্লাস,"
        ৳? ? ?
      ",None
Women's Cotton Soft Foam Bra - Love,"
        ৳? ? ?
      ",None
Korean style new necklace for girl/women,"
        ৳? ? ?
      ",None
Fenugreek Powder (মেথি গুড়া) (100 gm)- Methi Gura,"
        ৳? ? ?
      ",None
MEN'S PREMIUM BOXER TRUNK SHORTS UNDERWEAR - 1 PCS,"
        ৳? ? ?
      ",None
Professional Facial Mask Mixing Bowl Set – Pink,"
        ৳? ? ?
      ",None
Pantene Shampoo Anti Dandruff 180ML,"
        ৳? ? ?
      ",None
Cookie Cutter 12 Pieces,"
        ৳? ? ?
      ",None
Stylist Casual Half Sleeve Polo Shirt,"
        ৳? ? ?
      ",None
Rechargeable Flashlight Torch LED USB Portable Torches 4 Modes Zoom Mini Camping Lighting,"
        ৳? ? ?
      ",None
Forget Yellow Full Sleeve T-Shirt for Men,"
        ৳? ? ?
      ",None
Ayur Herbal Massage Cream With Cucumber - 250ml,"
        ৳? ? ?
      ",None
Readymade Stylish Hot Kurti For Girls Long Linen (1 Pcs) ShadaMon Shop,"
        ৳? ? ?
      ",None
Sweat Slim Belt plus -[ Indian ],"
        ৳? ? ?
      ",None
Ponds Pure White Clay Mask Combo Pack (BDT. 50 OFF),"
        ৳? ? ?
      ",None
fashion tops ladies short sleeve casual girl\'s print new t-shirt,"
        ৳? ? ?
      ",None
Black Ladies Adjusted High quality Belt for Women,"
        ৳? ? ?
      ",None
Eid Special City Boy Premium Polo Shirt For Men,"
        ৳? ? ?
      ",None
"Synthetic Curtain - Blue Parda, Porda, windows porda, door porda","
        ৳? ? ?
      ",None
Remax RM 512 High Bass Metal Body Earphone with Mic - New Version 2021,"
        ৳? ? ?
      ",None
Cable Tie 100mm - 100Pcs,"
        ৳? ? ?
      ",None
BTS Grey Melance T-shirt,"
        ৳? ? ?
      ",None
Electric Hot Water Bag pain remover [ Multicolour ],"
        ৳? ? ?
      ",None
Black Cotton Full Sleeve T Shirt For Men,"
        ৳? ? ?
      ",None
Netflix Gift Card - 1 Screen (1 month) - 18 TL Turkey Card,"
        ৳? ? ?
      ",None
Rok Pine Disinfectant Floor Cleaner 1Ltr (25 Tk Off),"
        ৳? ? ?
      ",None
Pantene Shampoo 340ml Long Black,"
        ৳? ? ?
      ",None
HBQ I7S TWS Bluetooth Stereo Double Headsets - WHITE,"
        ৳? ? ?
      ",None
Chiffon Georgette hijab Bubble,"
        ৳? ? ?
      ",None
Java Racing Advance Quality Hand Sleeve for Motorcycle or bike Ryder,"
        ৳? ? ?
      ",None
LCD Screen Cleaner Kit - Blue,"
        ৳? ? ?
      ",None
World Map Earth Round Globe Crystal Paperweight Decoration For Gift,"
        ৳? ? ?
      ",None
2 PC Oil Brush with Silicone Spatula ( Big size),"
        ৳? ? ?
      ",None
2Pcs Cyber Fox PUBG Mobile Finger Sleeve / Sweatproof Gloves for PUBG Mobile Gaming - Black / Finger Grip For Gaming / PUBG Finger Sleeves / PUBG Finger Gloves / PUBG Finger Cover / PUBG Finger Grip / Free Fire Fiinger Sleeves,"
        ৳? ? ?
      ",None
Htc At-522 Rechargeable Electric Hair Clipper Low Noise Hair Trimmer Hair Cutting Machine Beard Shaver Trimer For Men,"
        ৳? ? ?
      ",None
Flower Tub -4 Inch,"
        ৳? ? ?
      ",None
Dhupain Cheak Sarees For Women Black Ash,"
        ৳? ? ?
      ",None
Korean Style Handsome Super Fairy Butterfly Chain Earrings Ear Bone Clip Integrated Ear Jewelry For Girl and Women,"
        ৳? ? ?
      ",None
Dabur Amla Hair Oil - 275ml,"
        ৳? ? ?
      ",None
Attar - Chocolate Fragrance Perfume - অ্যালকোহল মুক্ত (Attar 1pcs),"
        ৳? ? ?
      ",None
Finger Ring For Women - 15 pcs/set Rings Set For Girls Silver Smart Retro Women rings set birthday ear rings couple rings Fashionable ladies rings set gift for girls gift for her RNT-1526A finger ring set for women rings set order online,"
        ৳? ? ?
      ",None
Oxy Charcoal Deo Soap 75gm,"
        ৳? ? ?
      ",None
Ayur Herbal Apricot Facial Scrub - 250ml,"
        ৳? ? ?
      ",None
Indian Excellent Georgette Embroidery  Comfortable Salwar Kameez for Women [3 piece],"
        ৳? ? ?
      ",None
Freedom Belt System (Economy Pack) - 15 Pads,"
        ৳? ? ?
      ",None
Mni Bluetooth Wireless Headphone - White,"
        ৳? ? ?
      ",None
30Pcs/Set Fashion BTS KPOP Paper Cards New Album Support Photocards Postcards,"
        ৳? ? ?
      ",None
Replacement Band Cowboy Style Stainless Steel Watch Loop For APPLE Watch Watch Band,"
        ৳? ? ?
      ",None
"Digital Multimeter, Handheld Digital Multimeter LCD Backlight Portable AC/DC Ammeter Voltmeter Ohm Voltage Tester Meter Multimeter with Wire","
        ৳? ? ?
      ",None
Sweat Slim Belt Plus ( Indian ),"
        ৳? ? ?
      ",None
Obsessions Precious Stones Eyeshadow Palette,"
        ৳? ? ?
      ",None
8139 Analog Wrist Watch - Brown and White,"
        ৳? ? ?
      ",None
Portable torch gas lighter Metal Windproof Gas Refillable Cigar Lighter,"
        ৳? ? ?
      ",None
Fit Me Matte And Poreless Foundation 30ml shade1/2/3,"
        ৳? ? ?
      ",None
No Girlfriend No Pera Half Sleeve Tshirt,"
        ৳? ? ?
      ",None
Ladies Pest Top Mind Sleeve T-shirt,"
        ৳? ? ?
      ",None
Blackhead Remover Tool Acne Pimple Spot Extractor Pin - Silver,"
        ৳? ? ?
      ",None
ACI Pure Najirshail Rice 5Kg,"
        ৳? ? ?
      ",None
Happy Birthday Balloon Big Size- 36 Inch ( 5 PCS )-multicolor,"
        ৳? ? ?
      ",None
Multi color Balloons - 100 Pieces ( Small Size ),"
        ৳? ? ?
      ",None
Defender 3 ply Melt Blown Surgical Mask with nose bar (50pcs),"
        ৳? ? ?
      ",None
"Gorgeous Looking Colorful Square LED Digital Sports Watch ,  Water Resistance LED Wrist Watch","
        ৳? ? ?
      ",None
Hand Press Lemon Juicer,"
        ৳? ? ?
      ",None
2020 summer new casual homme cool T-Shirts Summer Poly Cotton Tops Tees Print T Shirt Men Loose T-Shirt Homme Fashion Tshirts,"
        ৳? ? ?
      ",None
Pantene Shampoo Lively Clean 650ML,"
        ৳? ? ?
      ",None
Head & Shoulders Shampoo Smooth & Silky 650ml  Buy 1 Get 1 Old Spice Pocket Deo Free,"
        ৳? ? ?
      ",None
"RICHVOLT 3 in 1 Magnetic Charging Cable QC 3.0A, Multi Magnetic Charger Cable Nylon Braided with LED Light, Magnet USB Cable Fast Charger for iPhone/Micro USB/Type C, 360° Rotating Fast Charging Cable","
        ৳? ? ?
      ",None
Krispy Curl Chips 10 gm (25 Packets),"
        ৳? ? ?
      ",None
Outdoor Small Mini Backpack Daypack Bookbags Laptop bag 10L,"
        ৳? ? ?
      ",None
Long Jeep Wallet Money Purses For Men,"
        ৳? ? ?
      ",None
ashion Sneakers Fly knit Light weight Slip-on MenSneakers Men Casual Shoes Men F,"
        ৳? ? ?
      ",None
[LazChoice]Essager Desk Mobile Phone Holder Stand For iPhone 12 11 iPad Adjustable Metal Desktop Tablet Holder Universal Table Cell Phone Stand-BLACK,"
        ৳? ? ?
      ",None
Telescopic Zoom Flash Light  Xpe+COB,"
        ৳? ? ?
      ",None
Face Mask – Black Head 3Pcs,"
        ৳? ? ?
      ",None
Glue gun 20 watt with 5 Pieces Glue Gun Stick,"
        ৳? ? ?
      ",None
WRM10 - PU Leather Wrist Watch For Men,"
        ৳? ? ?
      ",None
King Rubber Printed Cotton T Shirt,"
        ৳? ? ?
      ",None
Curewe Kerien New Business Long Designer Men & Women artificial Leather Wallet With Zipper Man Purse with Coin Pocket Card holder For Male,"
        ৳? ? ?
      ",None
Cross Body Messenger Bag Waterproof Bike Rider Crossbody Shoulder Handbag Bag For Men- 3 Colors,"
        ৳? ? ?
      ",None
Pack of 3 Cotton Underwear Boxer for Men,"
        ৳? ? ?
      ",None
relme buds2 Wired Earbud In-ear  Bass Subwoofer Stereo Earphones Hands-free With Mic,"
        ৳? ? ?
      ",None
Ring Light Tripod Stand Studio SET for Youtuber/Facebook live Video Tiktok Video,"
        ৳? ? ?
      ",None
coco peat#চারা করার রেডি ককোপিট # ককপিট মিডিয়া ব্রাউন ১ কেজি প্যাক,"
        ৳? ? ?
      ",None
USA polo T-shirt Yellow,"
        ৳? ? ?
      ",None
Argentina Jersey Home/Away Russia 2018,"
        ৳? ? ?
      ",None
10 inch Led Ring Fill Light Ringlight With Stand,"
        ৳? ? ?
      ",None
NEW LASIKA W-F110  Water Resistance/ Waterproof Silicon Digital Watch for Men,"
        ৳? ? ?
      ",None
Tripod Camera and Mobile Stand - Silver and Black,"
        ৳? ? ?
      ",None
YT 228 Mini Tripod For Mobile and Camera with Mobile Holder - Black,"
        ৳? ? ?
      ",None
New Zealand Cricket Jersey,"
        ৳? ? ?
      ",None
"Slim Fit Black, Dark  Ash Trousers, Joggers Sweats Pants for Mans","
        ৳? ? ?
      ",None
Realme c17 /Realme 7i Camera Lens Glass Protector - Transparent,"
        ৳? ? ?
      ",None
CkeyiN Portable Hair Clipper Rechargeable Hair Trimmer for Men High Performance Haircut Grooming Kit (Red) RC005RQ,"
        ৳? ? ?
      ",None
broad brand Metal Windproof Gas Refillable Lighter,"
        ৳? ? ?
      ",None
Xiaomi_Mi Coloring Mini Backpack,"
        ৳? ? ?
      ",None
Love Birds White Half Sleeve T-Shirt for Men,"
        ৳? ? ?
      ",None
Readymade Stylish Hot Kurti For Girls Long Linen (Bangla 1 Pcs) ShadaMon Shop,"
        ৳? ? ?
      ",None
Chocolate High quality Artificial Leather wallet for men,"
        ৳? ? ?
      ",None
2 PCS Bicycle Wheel Light - Multicolour,"
        ৳? ? ?
      ",None
ROREC White Rice Serum Essence Moisturizing Anti Wrinkle Anti-Allergy,"
        ৳? ? ?
      ",None
10 Pcs / 5 Pairs(5 Packet) PUBG finger sleeves - Finger Gloves For PUBG - Finger Sleeves For Free Fire - Finger Grip For Gaming - Free Fire Finger Sleeves / Free Fire Finger Gloves / Free Fire Finger Cover - PUBG Finger Gloves for Mobile Gaming,"
        ৳? ? ?
      ",None
Xiaomi Simple Casual Backpack,"
        ৳? ? ?
      ",None
Glue Stick for 20watt Gun (Thin) 10pcs,"
        ৳? ? ?
      ",None
Readymade Stylish Hot Gown For Girls Long Net  Gown  (1 Pcs) ShadaMon Shop,"
        ৳? ? ?
      ",None
Jeep PU Leather Purse Wallet with Credit Business Card Holders Professional style,"
        ৳? ? ?
      ",None
Travel Bags For Boys & Girls Weekend Outdoor Waterproof Teenage Children School Bags Men & Women Backpack,"
        ৳? ? ?
      ",None
"Crossbody small bag for men, Waterproof messenger bag sIngle shoulder Handbag - Black/Coffee/Blue (উচ্চতা 7 ইঞ্চি, প্রস্থ ৬ ইঞ্চি)","
        ৳? ? ?
      ",None
Coil less Hijab safety pins,"
        ৳? ? ?
      ",None
Cotton and Lace Bra For Women,"
        ৳? ? ?
      ",None
Navy Blue Half Sleeve Men's USA Polo T-Shirt By Men,"
        ৳? ? ?
      ",None
ভিয়েতনাম হাইব্রিড নারিকেল গাছ,"
        ৳? ? ?
      ",None
White Crystal Men\'s and Women\'s trendy Sunglasses,"
        ৳? ? ?
      ",None
Realme _Ruds 2_ in Ea_ Earphone_Headset Handsfree 3.5mm Jack with Mic,"
        ৳? ? ?
      ",None
Exclusive Trouser - Fabric soft and comfortable,"
        ৳? ? ?
      ",None
HBQ i7s TWS Wireless Bluetooth AirPods Earbuds with Charging case - white,"
        ৳? ? ?
      ",None
"New Glassware food jar, glass jar 500 gm (4 pieces)","
        ৳? ? ?
      ",None
P47 - Wireless Bluetooth Headphone - Black,"
        ৳? ? ?
      ",None
LED Dream Mushroom Lamp - multi color,"
        ৳? ? ?
      ",None
Women Fashion - White  Cotton Half Sleeve T Shirt For Women,"
        ৳? ? ?
      ",None
12 cm (4.8'') Small Size Grill Planter/Railing Pots/Garden Planter/Hanging Planter for Plants/Flower Tob/,"
        ৳? ? ?
      ",None
Decoration sticker for bike.. Motorcycle  alhamdulillah stickers,"
        ৳? ? ?
      ",None
Womens wear easy net bra soft bra stylish bra comfortable bra,"
        ৳? ? ?
      ",None
Anastasia Makeup Foundation Sponge Blender Blending Puff Flawless Powder Smooth Beauty Sponge Ble,"
        ৳? ? ?
      ",None
Boys Regular Use Short Pant (3 Pieces),"
        ৳? ? ?
      ",None
Mehedi Pata Gura(মেহেদী পাতা গুঁড়া) Henna Leaf Powder(100gm),"
        ৳? ? ?
      ",None
4 Piece Comfortable  Cotton Bra for Woman,"
        ৳? ? ?
      ",None
Easy Ice Cream Meker Box 6 Pc set,"
        ৳? ? ?
      ",None
Digital  watches  for  MEN,"
        ৳? ? ?
      ",None
"Digital Hanging Weight Scale, Portable Hanging Electronic Hook Scale","
        ৳? ? ?
      ",None
Premium Laptop Sticker,"
        ৳? ? ?
      ",None
Men Wallets Men Jeep Wallet with Coin Bag Small Money Purses New Design Dollar Slim Purse Money Clip Long Wallet,"
        ৳? ? ?
      ",None
Red cotton pk staylish polo,"
        ৳? ? ?
      ",None
Lentil powder,"
        ৳? ? ?
      ",None
(GADGET DREAM ) T1 Universal Ergonomic Collapsible Adjustable Metal Desktop Tablet Mobile Phone Holder Foldable Extend Cell Phone Support Desk Mount Table Stand Smart Phone Bracket black & white & green,"
        ৳? ? ?
      ",None
"TOLSEN Household Scissors (200mm, 8"") Soft Grip Handle 30044","
        ৳? ? ?
      ",None
